Código: 5803 | Descrição: MOE - Contenções / Desformas e/ou Tratamento / Cortinas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5804 | Descrição: MOE - Contenções / Desformas e/ou Tratamento / Muretas Guia | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5805 | Descrição: MOE - Contenções / Formas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5806 | Descrição: MOE - Contenções / Formas / Cortinas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5807 | Descrição: MOE - Contenções / Formas / Muretas Guia | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5809 | Descrição: MOE - Esquadrias / Contramarcos / Portas Corta-Fogo | Unidade: un | Preço unitário: 100 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5808 | Descrição: MOE - Esquadrias / Contramarcos / Portas e Janelas | Unidade: un | Preço unitário: 100 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5810 | Descrição: MOE - Esquadrias / Contramarcos / Portas-Janelas | Unidade: un | Preço unitário: 100 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5811 | Descrição: MOE - Esquadrias / Corrimãos em Madeira | Unidade: m | Preço unitário: 11.95 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6100 | Descrição: MOE - Esquadrias / Portas Corta-Fogo | Unidade: un | Preço unitário: 200 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5812 | Descrição: MOE - Esquadrias / Portas de Madeira (Abrir) | Unidade: un | Preço unitário: 117 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5813 | Descrição: MOE - Esquadrias / Portas de Madeira (Correr) | Unidade: un | Preço unitário: 195 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5814 | Descrição: MOE - Esquadrias / Rodapés em Madeira, MDF e/ou Poliestireno | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5815 | Descrição: MOE - Esquadrias / Rodapés em Madeira, MDF e/ou Poliestireno / h<=10 cm | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5816 | Descrição: MOE - Esquadrias / Rodapés em Madeira, MDF e/ou Poliestireno / h>=15 cm | Unidade: m | Preço unitário: 12.21 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6089 | Descrição: MOE - Forros / Forro de Gesso em Placas - 60x60 cm | Unidade: m2 | Preço unitário: 26.6 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 6088 | Descrição: MOE - Forros / Forro de PVC | Unidade: m2 | Preço unitário: 13 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5817 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5818 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) / Blocos e/ou Sapatas | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5819 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) / Cisternas, Piscinas e/ou Dutos Enterrados | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5820 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) / Estacas | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5821 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) / Lajes Baldrame e/ou Radier | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5822 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) / Pilares de Arranque | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5823 | Descrição: MOE - Fundações / Armaduras (Corte, Dobra e Montagem) / Vigas Baldrame | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5824 | Descrição: MOE - Fundações / Armaduras (Montagem) | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5825 | Descrição: MOE - Fundações / Armaduras (Montagem) / Blocos e/ou Sapatas | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5826 | Descrição: MOE - Fundações / Armaduras (Montagem) / Cisternas, Piscinas e/ou Dutos Enterrados | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5827 | Descrição: MOE - Fundações / Armaduras (Montagem) / Estacas | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5828 | Descrição: MOE - Fundações / Armaduras (Montagem) / Lajes Baldrame e/ou Radier | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5829 | Descrição: MOE - Fundações / Armaduras (Montagem) / Pilares de Arranque | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5830 | Descrição: MOE - Fundações / Armaduras (Montagem) / Vigas Baldrame | Unidade: kg | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5831 | Descrição: MOE - Fundações / Arrasamento de Estacas | Unidade: un | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5832 | Descrição: MOE - Fundações / Concretagem | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5833 | Descrição: MOE - Fundações / Concretagem / Blocos e/ou Sapatas | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5834 | Descrição: MOE - Fundações / Concretagem / Cisternas, Piscinas e/ou Dutos Enterrados | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5835 | Descrição: MOE - Fundações / Concretagem / Estacas | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5836 | Descrição: MOE - Fundações / Concretagem / Lajes Baldrame e/ou Radier | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5837 | Descrição: MOE - Fundações / Concretagem / Pilares de Arranque | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5838 | Descrição: MOE - Fundações / Concretagem / Vigas Baldrame | Unidade: m3 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5839 | Descrição: MOE - Fundações / Cravação de Estacas | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5840 | Descrição: MOE - Fundações / Cravação de Estacas / 18x18 cm | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5841 | Descrição: MOE - Fundações / Cravação de Estacas / 20x20 cm | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5842 | Descrição: MOE - Fundações / Cravação de Estacas / 23x23 cm | Unidade: m | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5843 | Descrição: MOE - Fundações / Desformas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5844 | Descrição: MOE - Fundações / Desformas / Blocos e/ou Sapatas | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5845 | Descrição: MOE - Fundações / Desformas / Cisternas, Piscinas e/ou Dutos Enterrados | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5846 | Descrição: MOE - Fundações / Desformas / Lajes Baldrame e/ou Radier | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5847 | Descrição: MOE - Fundações / Desformas / Pilares de Arranque | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 5848 | Descrição: MOE - Fundações / Desformas / Vigas Baldrame | Unidade: m2 | Preço unitário: 0 | Data do preço: 14/05/2024 | Ativo: Sim
Código: 9527 | Descrição: MOE - Fundações / Execução Geral / Blocos, Pilares Arranque e Vigas Baldrame | Unidade: vb | Preço unitário: 0 | Data do preço: 20/05/2025 | Ativo: Sim
Código: 6117 | Descrição: MOE - Fundações / Execução Geral / Blocos, Pilares Arranque e Vigas Baldrame | Unidade: m2 | Preço unitário: 420 | Data do preço: 14/05/2024 | Ativo: Sim
