idx_entrada;entrada_descricao;entrada_unidade;codigo_sugerido;descricao_catalogo;unidade_catalogo;score
250;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7824
255;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5350;Tubo CPVC Aquatherm - 42 mm;m;0.6985
256;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5349;Tubo CPVC Aquatherm - 35 mm;m;0.711
276;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7849
281;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5350;Tubo CPVC Aquatherm - 42 mm;m;0.701
282;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5349;Tubo CPVC Aquatherm - 35 mm;m;0.711
302;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.7817
307;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5350;Tubo CPVC Aquatherm - 42 mm;m;0.7077
308;Tubo CPVC rígido, cor branca, linha Aquatherm - Tigre;;5349;Tubo CPVC Aquatherm - 35 mm;m;0.711
320;Tubo Série Reforçada (Série R) de PVC Rígido para Esgoto e Água Pluviais, conforme NBR-5688;;5415;Tubo PVC, Serie Reforcada - 75 mm;m;0.783
